
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT   , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,-----------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     20908772,GB / Ling 27th Mar                                                              ,1m2f Claim Stks                                   ,27/03/2008 ,      2451948,Little Firecracker            ,      0.000000,         6,6.24795917,6.67208810,         8,       5.5,        22,      3.05,          873.98,   73827.43,    6350.78
     20908772,GB / Ling 27th Mar                                                              ,1m2f Claim Stks                                   ,27/03/2008 ,      2457509,Henry James                   ,      0.000000,27.3586455,31.4093661,20.3968777,        55,        20,      1000,       9.6,           67.04,    5886.37,    1031.24
     20908772,GB / Ling 27th Mar                                                              ,1m2f Claim Stks                                   ,27/03/2008 ,      2460861,Home                          ,      0.000000,4.51233266,4.03593122,3.99285145,         5,       3.5,      1000,      1.66,         3387.96,  140604.17,    26134.8
     20908772,GB / Ling 27th Mar                                                              ,1m2f Claim Stks                                   ,27/03/2008 ,      2465830,Agglestone Rock               ,      0.000000,27.1463921,22.0117723,21.4172363,        36,        19,      1000,      2.32,           86.08,    8451.83,    5994.68
     20908772,GB / Ling 27th Mar                                                              ,1m2f Claim Stks                                   ,27/03/2008 ,      2487005,Bridge Of Fermoy              ,      1.000000,      2.94,3.06904871,3.18791305,      3.45,      2.92,        24,      1.01,         7170.46,  334500.35,   91154.86
     20908772,GB / Ling 27th Mar                                                              ,1m2f Claim Stks                                   ,27/03/2008 ,      2506407,Coral Shores                  ,      0.000000,12.1767701,11.5585688,9.70376588,        14,       9.4,      1000,         8,          591.44,   27929.87,      942.9
     20908772,GB / Ling 27th Mar                                                              ,1m2f Claim Stks                                   ,27/03/2008 ,      2526163,Mujahope                      ,      0.000000,       7.8,8.41521501,9.01238230,       9.8,         7,       100,      1.66,          912.32,   36411.29,   16918.18
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,       147033,Night Prospector              ,      0.000000,       5.9,5.93947748,4.87984998,       7.2,       4.6,      1000,       2.8,           524.8,  109687.19,    5344.94
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,       781257,Monashee Prince               ,      0.000000,8.52158626,7.15035097,7.82974426,     10.06,       6.4,      1000,         5,          655.96,   46133.71,    1888.58
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,       854778,Mulberry Lad                  ,      0.000000,37.9326522,30.2934387,12.9098426,        42,        19,       880,        34,          128.52,     6719.2,     102.82
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,      1124677,Prettilini                    ,      0.000000,      19.5,23.5547080,21.3288604,        46,        18,        80,        34,              47,    7576.34,     265.64
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,      1195371,James Street                  ,      0.000000,37.7761716,36.3938644,39.6936560,     65.63,        27,        55,        42,           86.42,    6031.44,     101.88
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,      1472581,Tang                          ,      0.000000,        60,61.7327699,33.3340937,        85,        36,        80,        20,              26,    3389.45,     112.66
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,      2384428,Punching                      ,      0.000000,7.79399440,7.61511919,9.59786744,      10.5,       6.6,      1000,       1.8,          340.14,   48443.28,    7685.72
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,      2396453,Yurchenko                     ,      0.000000,       210,177.708648,45.4044524,       300,     56.88,      1000,       100,              16,    1604.02,        133
     20908774,GB / Ling 27th Mar                                                              ,6f Sell Stks                                      ,27/03/2008 ,      2470084,Best One                      ,      1.000000,      2.34,2.21272094,2.45237354,      2.93,      2.08,      3.15,      1.01,         7899.94,  717181.77,  116207.94
     20908776,GB / Ling 27th Mar                                                              ,6f Mdn Stks                                       ,27/03/2008 ,      2029110,Zayyir                        ,      0.000000,22.7744093,24.6120344,36.0992902,       100,      16.5,        55,        14,           39.78,   18233.12,     621.06
     20908776,GB / Ling 27th Mar                                                              ,6f Mdn Stks                                       ,27/03/2008 ,      2332146,Interactive                   ,      0.000000,       4.9,4.50548150,5.83317849,       6.2,       4.1,        34,       3.1,          796.58,   109323.3,    7481.94
     20908776,GB / Ling 27th Mar                                                              ,6f Mdn Stks                                       ,27/03/2008 ,      2481429,Pasta Prayer                  ,      0.000000,96.5103751,95.9427645,49.3269141,       190,        44,       130,        90,           28.24,    4380.37,      21.32
     20908776,GB / Ling 27th Mar                                                              ,6f Mdn Stks                                       ,27/03/2008 ,      2571603,Spin Again                    ,      0.000000,2.89089375,2.98177899,3.44891738,      3.65,      2.84,        60,      1.53,          4229.4,  385296.04,    49162.9
